query_table,join_table,join_column,query_set_size,join_set_size,joinability,processed,jsim
31502039-1_0,31502039-1_2,opponent opponent,58,48,35,False,0.49295774647887325
31502039-1_0,31502039-1_3,opponent opponent,58,86,42,False,0.4117647058823529
31502039-1_0,31502039-1_4,opponent opponent,58,68,28,False,0.2857142857142857
31502039-1_0,31502039-1_5,opponent opponent,58,63,27,False,0.2872340425531915
31502039-1_0,31502039-1_6,opponent opponent,58,68,39,True,0.4482758620689655
20854685-1_0,20854685-1_1,player player,23,56,7,False,0.09722222222222222
20854685-1_0,20854685-1_2,player player,23,44,8,False,0.13559322033898305
20854685-1_0,20854685-1_3,player player,23,50,17,False,0.30357142857142855
20854685-1_0,20854685-1_4,player player,23,28,10,False,0.24390243902439024
20854685-1_0,20854685-1_5,player player,23,44,18,False,0.3673469387755102
20854685-1_0,20854685-1_6,player player,23,53,20,False,0.35714285714285715
20854685-1_0,20854685-1_7,player player,23,40,16,False,0.3404255319148936
20854685-1_0,20854685-1_8,player player,23,41,17,False,0.3617021276595745
20854685-1_0,20854685-1_9,player player,23,64,16,True,0.22535211267605634
575610-33_0,575610-33_1,church name,25,22,15,False,0.46875
575610-33_0,575610-33_2,church name,25,32,14,False,0.32558139534883723
575610-33_0,575610-33_3,church name,25,46,21,False,0.42
575610-33_0,575610-33_4,church name,25,28,15,False,0.39473684210526316
575610-33_0,575610-33_5,church name,25,43,15,False,0.2830188679245283
575610-33_0,575610-33_6,church name,25,30,11,False,0.25
575610-33_0,575610-33_7,church name,25,44,16,False,0.3018867924528302
575610-33_0,575610-33_8,church name,25,49,21,True,0.39622641509433965
28800937-5_0,28800937-5_1,castaway,22,16,9,False,0.3103448275862069
28800937-5_0,28800937-5_2,castaway,22,23,18,False,0.6666666666666666
28800937-5_0,28800937-5_3,castaway,22,15,7,False,0.23333333333333334
28800937-5_0,28800937-5_4,castaway,22,33,19,False,0.5277777777777778
28800937-5_0,28800937-5_5,castaway,22,12,10,False,0.4166666666666667
28800937-5_0,28800937-5_6,castaway,22,12,10,False,0.4166666666666667
28800937-5_0,28800937-5_7,castaway,22,19,10,True,0.3225806451612903
12890300-6_0,12890300-6_1,riding,57,40,20,False,0.2597402597402597
12890300-6_0,12890300-6_2,riding,57,44,21,False,0.2625
12890300-6_0,12890300-6_3,riding,57,78,43,False,0.4673913043478261
12890300-6_0,12890300-6_4,riding,57,90,46,False,0.45544554455445546
12890300-6_0,12890300-6_5,riding,57,61,41,True,0.5324675324675324
25360753-1_0,25360753-1_1,name name,18,51,9,False,0.15
25360753-1_0,25360753-1_2,name name,18,19,14,False,0.6086956521739131
25360753-1_0,25360753-1_3,name name,18,55,14,False,0.23728813559322035
25360753-1_0,25360753-1_4,name name,18,46,8,False,0.14285714285714285
25360753-1_0,25360753-1_5,name name,18,48,6,False,0.1
25360753-1_0,25360753-1_6,name name,18,37,14,False,0.34146341463414637
25360753-1_0,25360753-1_7,name name,18,15,7,False,0.2692307692307692
25360753-1_0,25360753-1_8,name name,18,23,15,False,0.5769230769230769
25360753-1_0,25360753-1_9,name name,18,36,7,False,0.14893617021276595
25360753-1_0,25360753-1_10,name name,18,57,14,True,0.22950819672131148
26399592-1_0,26399592-1_1,title,17,22,7,False,0.21875
17640440-3_0,17640440-3_1,rider,14,28,10,False,0.3125
17640440-3_0,17640440-3_2,rider,14,13,6,False,0.2857142857142857
17640440-3_0,17640440-3_3,rider,14,7,5,False,0.3125
17640440-3_0,17640440-3_4,rider,14,17,5,False,0.19230769230769232
17640440-3_0,17640440-3_5,rider,14,19,10,False,0.43478260869565216
17640440-3_0,17640440-3_6,rider,14,8,5,False,0.29411764705882354
17640440-3_0,17640440-3_7,rider,14,8,6,False,0.375
17640440-3_0,17640440-3_8,rider,14,27,11,False,0.36666666666666664
17640440-3_0,17640440-3_9,rider,14,13,7,False,0.35
17640440-3_0,17640440-3_10,rider,14,24,6,True,0.1875
10835458-1_0,10835458-1_1,film and television series police academy (1984),7,13,3,False,0.17647058823529413
10835458-1_0,10835458-1_2,film and television series police academy (1984),7,6,5,False,0.625
10835458-1_0,10835458-1_3,film and television series police academy (1984),7,11,5,False,0.38461538461538464
79772-6_0,79772-6_1,place,10,24,4,False,0.13333333333333333
79772-6_0,79772-6_2,place,10,31,8,False,0.24242424242424243
79772-6_0,79772-6_3,place,10,12,8,False,0.5714285714285714
79772-6_0,79772-6_4,place,10,33,4,False,0.10256410256410256
79772-6_0,79772-6_5,place,10,17,3,False,0.125
79772-6_0,79772-6_6,place,10,10,7,False,0.5384615384615384
