_id,ltable_id,rtable_id,label,ltable_name,ltable_brand,ltable_size,ltable_price,rtable_name,rtable_brand,rtable_size,rtable_price
13,altosight_682,altosight_763,1,pny attachã© 4,pny,8.0,17.35,attache 4 - black pny achat dans le rayon clã©s usb usb 2.0,pny,8.0,7.71
14,altosight_043,altosight_702,1,"clã© usb lexar jumpdrive c20m 32gb 32gb usb 3.0 (3.1 gen 1) type-a/type-c noir, argent lecteur usb flash (mk113845669)",lexar,32.0,29.97,lexar usb-stick 32 gb (ljdc20m-32gbbeu),lexar,32.0,34.99
15,altosight_328,altosight_555,1,toshiba thn-m401s0160e2 exceria pro m401 flash-speicher 16gb,toshiba,16.0,18.78,tarjeta de memoria - toshiba - thn-m401s0160e2 16gb microsd nand,toshiba,16.0,11.0
16,altosight_072,altosight_088,1,sony - usm32gr&nbsp;nero,sony,32.0,29.9,sony usm32gr noir clã© usb 32go,sony,32.0,
17,altosight_391,altosight_668,1,"carte mã©moire sdxc sandisk ultra plus 64 go, classe 10",sandisk,64.0,37.99,carte mã©moire sandisk ultra plus sdxc 64go 80mo/seconde uhs-i\n,sandisk,64.0,45.04
18,altosight_156,altosight_577,1,sandisk ultra usb type-c 64 gb,sandisk,64.0,38.99,sandisk ultra dual usb-c 3.1 flash drive 64 gb - diverse mobiltillbehã¶r,sandisk,64.0,349.0
19,altosight_046,altosight_834,1,carte sd sandisk sandisk 8go classe 4 sd secure digital sdhc,sandisk,8.0,8.99,tarjeta de memoria sandisk sdhc 8gb,sandisk,8.0,4.99
20,altosight_503,altosight_663,1,sandisk ultra performance class 10 microsdhc memory card - 32 gb,sandisk,32.0,29.99,carte mã©moire sandisk ultra plus microsdhc 32go 80mo/seconde uhs-i avec adaptateur sd\n,sandisk,32.0,27.04
21,altosight_352,altosight_451,1,lexar jumpdrive s25 32gb usb 3.0 flash drive ljds25-32gabeu (verde),lexar,32.0,,lexar jumpdrive s25 32gb usb 3.0 flash drive ljds25-32gabeu (verde),lexar,32.0,13.11
22,altosight_685,altosight_807,1,sony usm16ca1 - usb-flash-laufwerk - 16 gb - usb 3.1 / usb type-c,sony,16.0,39.95,tesco direct: sony usm16ca1 usb flash drive,sony,16.0,31.2
23,altosight_007,altosight_412,1,sandisk ultra performance class 10 microsd memory card - 128 gb,sandisk,128.0,69.99,"carte mã©moire microsdhc sandisk ultra plus 128 go, classe 10, vitesse de lecture allant jusqu'ã  80 mo/s + adaptateur sd",sandisk,128.0,74.99
24,altosight_108,altosight_770,1,memoria usb toshiba transmemory u202 usb 2.0 128gb en fnac.es,toshiba,128.0,39.99,clã© usb 128 go - thn-u202w1280e4 - blanc toshiba achat dans le rayon clã©s usb usb 2.0,toshiba,128.0,30.05
25,altosight_099,altosight_830,1,lexar jumpdrive s25  memoria usb 3.0  64 gb violeta en fnac.es,lexar,64.0,34.99,pendrive lexar jumpdrive s25 64 gb,lexar,64.0,24.99
26,altosight_630,altosight_795,1,lexar jumpdrive s70 clã© usb 2.0 16 go gris ljds70-16gabeu,lexar,16.0,,tesco direct: lexar jumpdrive s70 16gb usb memory flash drive - (burgundy) small blister,lexar,16.0,21.41
27,altosight_071,altosight_211,1,sony - memoria usb type-c usb 3.1 16gb&nbsp;,sony,16.0,29.9,"pendrive 16gb sony usm16ca1, usb 3.0, micro-usb, plateado",sony,16.0,
28,altosight_061,altosight_355,1,pny attache 4 8gb usb 2.0 (czarny),pny,8.0,24.99,"pny fd8gbatt4-ef - memoria usb 2.0 de 8 gb, color negro",pny,8.0,11.86
29,altosight_034,altosight_534,1,clã© usb intenso cl&amp;eacute; usb 8gb intenso flashdrive premium line 3.0 - blister aluminium (mk935883071),intenso,8.0,10.55,clã© usb intenso cl&amp;eacute; usb 8gb intenso flashdrive premium line 3.0 - blister aluminium (mk935883071),intenso,8.0,11.15
30,altosight_131,altosight_225,1,sandisk sdhc 8 gb | sd (secure digital) | memorie | foto de angelis,sandisk,8.0,7.3,"sandisk standard sdhc 8 gb memory card (label may change),sandisk,sdsdb-008g-b35,b009hqg4g2,computer_components,drives and mass storage,sd hc,sdhc,8gb,8 gig,memory,memory,card,sandisk,scandisk,sdsdb,sdsdb8192,8192,sdsdb8192e,8192e,e,sdsdb8192e11,8192e11,e11,secure digital,securedigital,sd,",sandisk,8.0,
31,altosight_259,altosight_366,1,"sandisk cruzer glide cz600 32gb sdcz600-032gb usb 3.0 jump drive pen drive flash drive,sandisk,fba_sdcz600-032g-g35",sandisk,32.0,13.97,"sandisk ufm 32gb usb cruzer glide 3.0 32gb usb 3.0 (3.1 gen 1) conector usb tipo a negro, rojo unidad flash usb - memoria usb (32 gb, 3.0 (3.1 gen 1), conector usb tipo a, deslizar, negro, rojo): amazon.es: informã¡tica",sandisk,32.0,17.97
32,altosight_422,altosight_665,1,"carte mã©moire microsdhc sandisk ultra plus 64 go, classe 10, vitesse de lecture allant jusqu'ã  80 mo/s + adaptateur sd",sandisk,64.0,37.99,carte mã©moire sandisk ultra plus microsdxc 64go 80mo/seconde uhs-i avec adaptateur sd\n,sandisk,64.0,50.04
33,altosight_288,altosight_711,1,toshiba exceria pro n101 64gb sd memory card 260 mb/s 4k hd - thn-n101k0640e6,toshiba,64.0,209.99,"toshiba exceria pro n101, 64 gb",toshiba,64.0,184.95
34,altosight_313,altosight_636,1,lexar jumpdrive s25 64gb usb 3.0 flash drive ljds25-64gabeu (lila),lexar,64.0,21.1,lexar jumpdrive s25 memoria usb 3.0 64 gb violeta fnac.es lexar,lexar,64.0,29.95
35,altosight_756,altosight_825,1,"toshiba thn-u202w1280e4, 128 gb, 2.0, usb-anschluss typ a, kappe, 8 g, weiã",toshiba,128.0,37.71,pen drive toshiba 128gb u202w blanco,toshiba,128.0,44.99
36,altosight_263,altosight_812,1,toshiba exceria pro n401 128gb sd memory card 95 mb/s 4k - thn-n401s1280e4,toshiba,128.0,65.08,tesco direct: toshiba exceria pro - n401 128gb sdxc uhs-i class 3 memory card,toshiba,128.0,90.51
37,altosight_305,altosight_584,1,"kingston datatraveler dt101g2 32 gb usb-stick usb 2.0 lila [amazon frustfreie verpackung],kingston,dt101g2/32gb",kingston,32.0,23.25,kingston data traveler 101 gen2 32gb usb 2.0 (czerwony),kingston,32.0,59.99
38,altosight_080,altosight_443,1,kingston - carte mã©moire flash - 256 go - sdxc,kingston,256.0,,kingston scheda sd professionale sda10/256gb uhs-i sdhc/sdxc di classe 10 - 256gb,kingston,256.0,130.99
39,altosight_090,altosight_554,1,intenso premium line 64gb usb 3.0 (3534490),intenso,64.0,,memoria usb - intenso -64gb usb 3.0 (3.1 gen 1) tipo a plata,intenso,64.0,32.62
40,altosight_066,altosight_243,1,toshiba - scheda di memoria microsdhc 32gb - exceria&nbsp;nero,toshiba,32.0,29.0,toshiba exceria sdhc 32 gb uhs-i (u3 - up to 95mb/s read) flash memory card,toshiba,32.0,29.49
41,altosight_300,altosight_561,1,kingston datatraveler dt101g2 32gb usb-stick usb 2.0 lila,kingston,32.0,,kingston data traveler 101 g2 32 gb fialovã½ - flashdisk,kingston,32.0,408.0
42,altosight_632,altosight_808,1,toshiba exceria n302 - carte mã©moire flash - 128 go - sdxc uhs-i,toshiba,128.0,,tesco direct: tos-n302-128gb-sd 128gb exceria sd flash card speed class 3,toshiba,128.0,39.99
43,altosight_756,altosight_770,1,"toshiba thn-u202w1280e4, 128 gb, 2.0, usb-anschluss typ a, kappe, 8 g, weiã",toshiba,128.0,37.71,clã© usb 128 go - thn-u202w1280e4 - blanc toshiba achat dans le rayon clã©s usb usb 2.0,toshiba,128.0,30.05
44,altosight_457,altosight_658,1,"toshiba scheda di memoria microsdhc 32 gb, exceria, 95mb/s - uhs-i - u3 + adattatore",toshiba,32.0,34.9,memoria toshiba microsdhc 32gb class 10 exceria ultra high speed uhs-i,toshiba,32.0,20.99
45,altosight_049,altosight_421,1,accessoires montres / bracelets connectã©s sandisk carte mã©moire sdxc sandisk extreme 128 go,sandisk,32.0,46.83,"carte mã©moire microsdhc sandisk ultra plus 32 go, classe 10, vitesse de lecture allant jusqu'ã  80 mo/s + adaptateur sd",sandisk,32.0,19.99
46,altosight_039,altosight_210,1,clã© usb lexar 16gb jumpdrive v30 16go usb 2.0 type a blanc lecteur usb flash (mk1289619889),lexar,16.0,11.94,"pendrive de 16 gb - lexar jumpdrive v30 ljdv30-16gabeu, usb 2.0",lexar,16.0,
47,altosight_353,altosight_760,1,lexar p20 32gb usb 3.0 jumpdrive - ljdp20-32gcrbeu,lexar,32.0,,jumpdrive p20 - usb 3.0 - 32 go lexar achat dans le rayon clã©s usb usb 3.0,lexar,32.0,71.78
48,altosight_395,altosight_767,1,"sony usm32gr noir clã© usb 32go,sony,558j683,clã© usb",sony,32.0,28.79,usb key 32 gb 2 yr wrnty sony achat dans le rayon clã©s usb usb 2.0,sony,32.0,19.04
49,altosight_639,altosight_761,1,memoria usb lexar jumpdrive c20m usb3.0 - microusb 32gb pendrive ipec discount lexar,lexar,32.0,29.24,mã©moire 32gb jumpdrive c20m lexar achat dans le rayon clã©s usb usb 3.1,lexar,32.0,21.05
50,altosight_590,altosight_783,1,pam??ovã¡ karta kingston sdhc 16gb uhs-i u1 (90r/45w),kingston,16.0,399.0,tesco direct: kingston 16 gb sdhc class 10 ultimate high speed memory card sda10/16gb,kingston,16.0,12.15
51,altosight_571,altosight_614,1,"sony slim usb-minne usb-c/usb-a 16 gb - minneskort, usb-minne",sony,16.0,299.0,sony usm-ca microvault usb 3.1 16 gb â silber,sony,16.0,23.5
52,altosight_119,altosight_375,1,"sandisk cruzer glide 256 gb 256gb usb 2.0 negro, rojo unidad flash usb en fnac.es",sandisk,256.0,,"sandisk cruzer glide 256gb usb 2.0 tipo a negro, rojo unidad flash usb - memoria usb (256 gb, usb 2.0, tipo a, deslizar, negro, rojo, 0 - 45 â°c)",sandisk,256.0,
53,altosight_433,altosight_492,1,"sony sf8u scheda sd hc, uhs-i, classe 10, 8 gb, nero",sony,8.0,,sony sd serie u 8gb r90 cl 10 performance,sony,8.0,16.9
54,altosight_312,altosight_351,1,lexar p20 128gb usb 3.0 jumpdrive - ljdp20-128crbeu,lexar,128.0,82.08,lexar p20 128gb usb 3.0 jumpdrive - ljdp20-128crbeu,lexar,128.0,93.47
55,altosight_247,altosight_551,1,"lexar jumpdrive c20m 32gb micro-usb flash drive,lexj4,ljdc20m-32gbbeu",lexar,32.0,18.41,pendrive lexar jumpdrive c20m usb 3.1 32 gb con cable plata/negro/azul,lexar,32.0,32.9
56,altosight_238,altosight_276,1,lexar v30 32gb jumpdrive usb 2.0 flash drive memory stick - green,lexar,32.0,8.99,lexar v30 32gb jumpdrive usb 2.0 flash drive memory stick - green,lexar,32.0,8.99
57,altosight_320,altosight_477,1,kingston sda3/128gb sdhc/sdxc 128gb ultra high-speed class 3 speicherkarte,kingston,128.0,61.89,kingston sd kaart uhs-i 128gb,kingston,128.0,66.5
58,altosight_537,altosight_759,1,clã© usb kingston kingston clã© usb 16 go datatraveler g2 101 (mk1574653819),kingston,16.0,14.71,achat carte micro sdxc 128go - avec adaptateur sd kingston dans le rayon carte micro sd,kingston,16.0,29.61
59,altosight_209,altosight_545,1,"pendrive 128gb toshiba transmemory white, usb 2.0, blanco",toshiba,128.0,,clã© usb toshiba thn-u202w1280e4 128go usb 2.0 type a blanc lecteur usb flash (mk1725168789),toshiba,128.0,46.94
60,altosight_399,altosight_495,1,kingston datatraveler 101 generation 2 (g2) clã© usb 32 go mauve - emballage &quot;dã©baller sans s'ã©nerver&quot;,kingston,32.0,21.86,pen drive kingston dt101g2/32gb hi-speed usb 2.0 (25),kingston,32.0,13.8
61,altosight_587,altosight_597,1,kingston hyperx savage 512gb usb 3.0,kingston,512.0,859.0,usb flash kingston hyperx savage 512gb usb 3.1 ?ernã½/?ervenã½,kingston,512.0,6210.0
62,altosight_092,altosight_610,1,toshiba exceria n302 - carte mã©moire flash - 128 go - sdxc uhs-i,toshiba,128.0,,toshiba - sd exceria 90mb/s 128gb&nbsp;rosso/nero,toshiba,128.0,57.99
63,altosight_212,altosight_604,1,"pendrive 32gb toshiba transmemory white, usb 2.0, blanco",toshiba,8.0,,toshiba hayabusa usb 2.0 (8gb) weiã,toshiba,8.0,12.95
64,altosight_776,altosight_826,1,"pny attache 4 2.0, usb-stick, usb 2.0, 128 gb",pny,128.0,27.99,pendrive 128 gb  pny attache 4 2.0,pny,128.0,29.99
65,altosight_648,altosight_764,1,pny attache 4 128 gb usb 2.0 asdiscount pny,pny,128.0,45.0,clã© usb attachã© 4 2.0 128 gb - fd128att4-ef - noir pny achat dans le rayon clã©s usb usb 2.0,pny,128.0,35.45
66,altosight_809,altosight_825,1,tesco direct: tos-u202-128gb-whi 128gb transmemory usb 2.0 flash drive,toshiba,128.0,34.99,pen drive toshiba 128gb u202w blanco,toshiba,128.0,44.99
67,altosight_199,altosight_291,1,"toshiba sdhc exceria pro 32go, silber",toshiba,32.0,24.4,toshiba exceria pro n401 32gb sd memory card 95 mb/s 4k hd - thn-n401s0320e4,toshiba,32.0,24.99
68,altosight_236,altosight_275,1,lexar jumpdrive s25 32gb usb 3.0 flash drive ljds25-32gabeu (green),lexar,32.0,15.07,lexar jumpdrive s25 32gb usb 3.0 flash drive ljds25-32gabeu (green),lexar,32.0,15.99
69,altosight_095,altosight_806,1,sony carte mã©moire sdhc 16 go class4,sony,16.0,,tesco direct: sony sf16n4 16 gb sdhc,sony,16.0,15.46
70,altosight_005,altosight_047,1,lexar xqd 32gb x1400 professional xqd +kupon premium -50% na ab fotoksi??k? - abfoto,lexar,32.0,329.0,carte xqd lexar xqd pro 32 go 1400x (mk937093372),lexar,32.0,87.45
71,altosight_153,altosight_791,1,lexar jumpdrive c20m 32gb,lexar,32.0,28.99,tesco direct: lexar jumpdrive c20m 32gb usb 3.0 (3.1 gen 1) type-a/type-c black silver,lexar,32.0,
72,altosight_030,altosight_150,1,clã© usb sony clã© otg 16go usm16ca1 type c et usb 3.1 (4190041),sony,16.0,29.99,sony usm16ca1 pendrive 16 gb,sony,16.0,10989.0
73,altosight_161,altosight_459,1,carte xqd lexar 32go 1400x,lexar,32.0,78.0,scheda lexar professional 32gb 1400x xqd 2.0 - lxqd32gcrbeu1400,lexar,32.0,
74,altosight_171,altosight_459,1,lexar xqd 32gb x1400 professional xqd  - xqd - karty pami?ci - no?niki pami?ci - produkty,lexar,32.0,239.0,scheda lexar professional 32gb 1400x xqd 2.0 - lxqd32gcrbeu1400,lexar,32.0,
75,altosight_055,altosight_503,1,accessoires montres / bracelets connectã©s sandisk carte mã©moire sdxc sandisk extreme 128 go,sandisk,32.0,49.6,sandisk ultra performance class 10 microsdhc memory card - 32 gb,sandisk,32.0,29.99
76,altosight_032,altosight_781,1,clã© usb intenso cl&amp;eacute; usb 4gb intenso rainbow line - sous blister (mk483972804),intenso,4.0,7.14,tesco direct: intenso rainbow 3502450 4 gb usb 2.0 flash drive,intenso,4.0,6.4
77,altosight_606,altosight_608,1,sandisk microsdhc (4gb),sandisk,4.0,5.99,sandisk microsdhc (4gb) + adapter photo microsdhc,sandisk,4.0,7.99
78,altosight_006,altosight_729,1,sandisk tarjeta micro sdhc extrem pro 16gb hc 95mb clase 10 - tarjetas - accesorios,sandisk,16.0,29.0,sandisk extreme pro - flashgeheugenkaart - 16 gb - microsdhc uhs-i\n,sandisk,16.0,150.0
79,altosight_019,altosight_454,1,carte sd lexar premium series sdhc 8 go - sd 300x 8gb (4116020),lexar,8.0,7.9,lexar premium ii 300x 8gb sdhc u1 scheda di memoria - lsd8gbbbeu300,lexar,8.0,10.99
80,altosight_618,altosight_701,1,clã© micro-usb lexar jumpdrive c20m 128 go,lexar,128.0,,lexar usb-stick 128 gb (ljdc20m-128bbeu),lexar,128.0,74.99
81,altosight_167,altosight_770,1,"toshiba transmemory u202, 128 gb",toshiba,128.0,28.99,clã© usb 128 go - thn-u202w1280e4 - blanc toshiba achat dans le rayon clã©s usb usb 2.0,toshiba,128.0,30.05
82,altosight_267,altosight_292,1,toshiba exceria pro n401 64gb sd memory card 95 mb/s 4k hd - thn-n401s0640e4,toshiba,64.0,41.47,toshiba exceria pro n401 64gb sd memory card 95 mb/s 4k hd - thn-n401s0640e4,toshiba,64.0,40.92
83,altosight_470,altosight_575,1,"toshiba exceria pro - n401 64gb sdxc uhs-i class 3 memory card - memory cards (64 gb, sdxc, class 3, 95 mb/s, 75 mb/s, uhs-i)",toshiba,64.0,,"toshiba exceria pro n401 sdxc kort 64 gb - minneskort, usb-minne",toshiba,64.0,499.0
84,altosight_035,altosight_759,1,clã© usb kingston cl&amp;eacute; usb 16gb kingston dt101 g2 - sous blister (mk483703403),kingston,16.0,13.95,achat carte micro sdxc 128go - avec adaptateur sd kingston dans le rayon carte micro sd,kingston,16.0,29.61
85,altosight_493,altosight_759,1,memoria usb pendrive kingston datattraveller 101g2 16 pte,kingston,16.0,11.58,achat carte micro sdxc 128go - avec adaptateur sd kingston dans le rayon carte micro sd,kingston,16.0,29.61
86,altosight_365,altosight_732,1,tarjeta de memoria sdxc sandisk ultra plus clase 10 16 gb,sandisk,16.0,18.59,sandisk sdhc 16gb 80mb/s cl10\n,sandisk,16.0,19.99
87,altosight_084,altosight_241,1,toshiba exceria pro - carte mã©moire flash - 32 go - sdhc uhs-ii,toshiba,32.0,,toshiba exceria pro n101 32gb sd memory card 260 mb/s - thn-n101k0320e6,toshiba,32.0,62.84
88,altosight_390,altosight_511,1,"carte mã©moire sdxc sandisk ultra plus 64 go, classe 10",sandisk,64.0,37.99,sandisk ultra plus class 10 sdxc memory card - 64 gb,sandisk,64.0,39.99
89,altosight_096,altosight_303,1,sony carte mã©moire sdhc uhs-i 8 go class6,sony,8.0,,sony sf8u class-10 8gb sdhc speicherkarte mit uhs interface,sony,8.0,14.88
90,altosight_230,altosight_816,1,lexar professional jumpdrive s70 16gb usb 2.0 retractable design flash drive memory stick - grey,lexar,16.0,12.99,"lexar jumpdrive s70 16gb usb 2.0 tipo-a grigio, arancione unitã  flash usb",lexar,16.0,19.9
91,altosight_327,altosight_465,1,"hyperx savage hxs3/512 gb usb-stick usb 3.0 schwarz/rot bis zu 350mb/sek r, 250mb/sek w",kingston,512.0,222.47,"kingston hxs3/512gb hyperx savage memoria flash, usb 3.0, 512 gb, lettura 350 mb/s, scrittura 250 mb/s, nero/rosso",kingston,512.0,232.89
92,altosight_568,altosight_617,1,"toshiba exceria pro n401 sdxc kort 64 gb - minneskort, usb-minne",toshiba,64.0,499.0,toshiba exceria pro n401 sdxc 64 gb uhs-i u3 class 10,toshiba,64.0,39.0
93,altosight_384,altosight_471,1,"toshiba exceria n302 n302 sdxc 128gb 128gb sdxc uhs-i clase 10 memoria flash - tarjeta de memoria (128 gb, sdxc, clase 10, 90 mb/s, uhs-i, 24 mm)",toshiba,128.0,45.31,"toshiba scheda di memoria sdxc 128gb, exceria, 90mb/s, classe 10, u3",toshiba,128.0,
94,altosight_406,altosight_452,1,lexar p20 32go usb 3.0 jumpdrive - ljdp20-32gcrbeu,lexar,32.0,46.02,"lexar p20 32go usb 3.0 jumpdrive - ljdp20-32gcrbeu,lexar media inc,ljdp20-32gcrbeu,drive,flash,lexar,usb",lexar,32.0,42.91
95,altosight_169,altosight_832,1,sony 16gb sdhc class 4,sony,16.0,29.0,tarjeta de memoria sd  sony 16gb experience,sony,16.0,15.99
96,altosight_131,altosight_834,1,sandisk sdhc 8 gb | sd (secure digital) | memorie | foto de angelis,sandisk,8.0,7.3,tarjeta de memoria sandisk sdhc 8gb,sandisk,8.0,4.99
97,altosight_424,altosight_463,1,"carte mã©moire microsdhc sandisk ultra plus 128 go, classe 10, vitesse de lecture allant jusqu'ã  80 mo/s + adaptateur sd",sandisk,128.0,74.99,"scheda memoria microsdhc sandisk ultra plus, classe 10, velocitã  di lettura fino a 80&nbsp;mb/s + adattatore sd 128 gb,sandisk,sdsqusc-128g-gn6ma",sandisk,128.0,90.65
98,altosight_132,altosight_673,1,"kingston ultimate sdhc 16gb, uhs-i/class 10 (sda10/16gb)",kingston,16.0,17.99,kingston ultimate - carte mã©moire flash - 16 go - sdhc\n,kingston,16.0,20.02
99,altosight_484,altosight_492,1,sony sd serie u 8gb r90 cl 10 performance,sony,8.0,16.9,sony sd serie u 8gb r90 cl 10 performance,sony,8.0,16.9
100,altosight_046,altosight_746,0,carte sd sandisk sandisk 8go classe 4 sd secure digital sdhc,sandisk,8.0,8.99,shop samsung galaxy a20 dual sim black 32gb 4g lte online in egypt,samsung,,2594.0
101,altosight_111,altosight_740,0,sony unidad flash usb alta velocidad (32 gb) usm32gqx - pendrive / memoria usb en fnac.es,sony,32.0,,shop samsung galaxy a10 dual sim black 32gb 4g lte online in egypt,samsung,,2039.0
102,altosight_213,altosight_722,0,"pendrive 8gb azul toshiba transmemory aqua, usb 2.0 (mod.thnu08hayaqa(",toshiba,8.0,,lexar jumpdrive v10 8gb (fp)-\n,lexar,8.0,9.04
103,altosight_437,altosight_540,0,kingston scheda sd professionale sda10/16gb uhs-i sdhc/sdxc di classe 10 - 16gb,kingston,16.0,14.39,clã© usb lexar cl&amp;eacute; usb lexar jumpdrive v30 (mk362822542),lexar,16.0,8.53
104,altosight_000,altosight_734,0,lexar 32gb 1400x 210mb/s professional xqd memã³riakã¡rtya,lexar,32.0,31990.0,sandisk ultra plus microsdhc 32 gb 80 mb / seconde uhs-i geheugenkaart met sd-adapter\n,sandisk,32.0,27.04
105,altosight_042,altosight_736,0,"clã© usb lexar jumpdrive c20m 128gb 128gb usb 3.0 (3.1 gen 1) type-a noir, argent lecteur usb flash (mk1902705846)",lexar,128.0,57.8,sandisk ultra plus microsdxc 64 gb 80 mb / seconde uhs-i geheugenkaart met sd-adapter\n,sandisk,64.0,50.04
106,altosight_093,altosight_778,0,sandisk carte mã©moire extreme pro sdhc / sdxc 16 go 280 mo /s  uhsii,sandisk,16.0,,usb-minne 3.1 64gb ultra dual typ c scandinavian photo,sandisk,64.0,490.0
107,altosight_190,altosight_814,0,"karta sony sf16n4, karty pami?ci",sony,16.0,39.99,tesco direct: toshiba thn-m401s0160e2 16gb microsd nand class 10 memory card,toshiba,16.0,16.15
108,altosight_181,altosight_429,0,"samsung galaxy note 9 dual sim - 512gb, 8gb ram, 4g lte, midnight black",samsung,,16666.0,sandisk scheda di memoria microsdhc 4 gb classe 4 con adattatore sd,sandisk,4.0,
109,altosight_248,altosight_782,0,"lexar jumpdrive c20m 128 gb micro-usb flash drive,lexj4,ljdc20m-128bbeu",lexar,128.0,39.68,tesco direct: kingston 16 gb microsdhc,kingston,16.0,13.11
110,altosight_295,altosight_500,0,intenso rainbow line 4 gb usb-stick usb 2.0 blau,intenso,4.0,5.49,sandisk ultra performance class 10 microsd memory card - 128 gb,sandisk,128.0,69.99
111,altosight_542,altosight_592,0,"clã© usb lexar jumpdrive c20m 128gb 128gb usb 3.0 (3.1 gen 1) type-a noir, argent lecteur usb flash (mk1902705846)",lexar,128.0,57.07,pam??ovã¡ karta kingston sdxc 256gb uhs-i u1 (90r/45w),kingston,256.0,2599.0
112,altosight_110,altosight_158,0,sandisk - 16gb extreme en fnac.es,sandisk,16.0,,carte sdxc sandisk ext+ 128go uhs 1 classe 10,sandisk,128.0,80.4
113,altosight_267,altosight_480,0,toshiba exceria pro n401 64gb sd memory card 95 mb/s 4k hd - thn-n401s0640e4,toshiba,64.0,41.47,sdca3/16gb 16gb micro sdhc uhs-i speed class 3 (u3) 90r/80w,kingston,16.0,24.9
114,altosight_089,altosight_285,0,transcend ultimate series - carte mã©moire flash - 64 go - sdxc uhs-ii,transcend,64.0,,sony usm128gqx 128 gb ram usb flash drive,sony,128.0,113.31
115,altosight_299,altosight_760,0,kingston datatraveler 101 gen 2 16gb usb drive - black,kingston,16.0,,jumpdrive p20 - usb 3.0 - 32 go lexar achat dans le rayon clã©s usb usb 3.0,lexar,32.0,71.78
116,altosight_337,altosight_373,0,toshiba thn-m302r1280ea - exceria m302-ea - flash memory card (microsdxc to sd adapter included) - 128 gb - uhs class 3 / class10 - microsdxc uhs-i,toshiba,128.0,,"toshiba exceria n302 n302 sdxc 128gb 128gb sdxc uhs-i clase 10 memoria flash - tarjeta de memoria (128 gb, sdxc, clase 10, 90 mb/s, uhs-i, 24 mm)",toshiba,128.0,
117,altosight_306,altosight_765,0,sandisk extreme 16 gb usb-flash-laufwerk usb 3.0 bis zu 245 mb/sek,sandisk,16.0,,achat micro sd evo plus classe 10 - 16 go samsung dans le rayon carte micro sd,samsung,16.0,19.99
