_id,description,brand,model,type,mp,price
buy.net//5688,"nikon coolpix p510 black digital camera (16.1 mp, 42x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,p510,bridge camera,16.1,
buy.net//5698,"nikon d3200 black slr digital camera kit w/ 18-55 mm vr and 55-200 mm non-vr dx zoom lenses (24.2 mp, sd card slot) price comparison at buy.net",nikon,d3200,digital slr camera,24.2,
buy.net//5723,"fujifilm x-t1 black digital camera kit w/ 18-55 mm lens (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x-t1,mirrorless interchangeable lens camera,16.3,
buy.net//5729,"samsung nx2000 20.3 megapixel mirrorless camera body with lens kit - 20 mm - 50 mm lens 1, 50 mm - 200 mm lens 2 - white (3.7"" touchscreen lcd - 2.5x/4x optical zoom - optical is - 5472 x 3648 image - 1920 x 1080 video - hdmi - hd movie mode) price comparison at buy.net",samsung,nx2000,mirrorless camera,20.3,
buy.net//5752,"sony cyber-shot dsc-w830 20.1 megapixel compact camera - black (2.7"" lcd - 8x optical zoom - optical is - 11520 x 1080 image - 1280 x 720 video - hd movie mode) price comparison at buy.net",sony,dsc-w830,compact camera,20.1,
buy.net//5754,"panasonic lumix dmc-fz70 black digital camera (16.1 mp, 60x opt, sd card slot) price comparison at buy.net",panasonic,dmc-fz70,bridge camera,16.1,
buy.net//5759,"nikon d5200 black slr digital camera kit w/ 18-55 mm lens (24.1 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d5200,digital slr camera,24.1,
buy.net//5761,"nikon d7100 24.1 megapixel digital slr camera body with lens kit - 18 mm - 140 mm (3.2"" lcd - 7.8x optical zoom - optical is - 6000 x 4000 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",nikon,d7100,digital slr camera,24.1,
buy.net//5773,"canon eos rebel t5i black slr digital camera kit w/ 18-55 mm lens (18 mp, sd/sdhc/sdxc cardslot) price comparison at buy.net",canon,t5i,digital slr camera,18.0,
buy.net//5791,"nikon d7000 black slr digital camera kit w/ 18-105 lens (16.2 mp, 5.8x opt, sd/sdhc/sdxc card slots) price comparison at buy.net",nikon,d7000,digital slr camera,16.2,
buy.net//5797,"nikon coolpix l810 16.1 megapixel compact camera - blue (3"" lcd - 26x optical zoom - optical is - 4608 x 3456 image - 1280 x 720 video - hdmi - hd movie mode) price comparison at buy.net",nikon,l810,compact camera,16.1,
buy.net//5803,"nikon d3100 black slr digital camera kt w/ 18-55 mm vr lens (14.2mp, 3x opt, sd card slot) price comparison at buy.net",nikon,d3100,digital slr camera,14.2,
buy.net//5810,"panasonic lumix dmc-gx7 silver digital camera kit w/ 14-42 mm lens (16 mp, 3x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",panasonic,dmc-gx7,mirrorless interchangeable lens camera,16.0,
buy.net//5814,"fujifilm x-m1 brown digital camera (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x-m1,mirrorless interchangeable lens camera,16.3,
buy.net//5819,"nikon d5300 black slr digital camera kit w/ 18-55 mm lens (24.2 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d5300,digital slr camera,24.2,
buy.net//5842,"nikon coolpix s9700 red digital camera (16 mp, 30x opt, sd/sdhc/sdxc card slot, 329 mb) price comparison at buy.net",nikon,s9700,point & shoot digital camera,16.0,
buy.net//5849,"canon eos 70d black digital slr camera kit w/ 18-55 mm lens (20.2 mp, 3.1x opt, sd card slot) price comparison at buy.net",canon,70d,digital slr camera,20.2,
buy.net//5855,"canon eos 5d mark iii black slr digital camera body only (22.3 mp, compactflash/sd/sdhc/sdxc card slot) price comparison at buy.net",canon,5d mark iii,digital slr camera,22.3,
buy.net//5857,"nikon d3200 black slr digital camera kit w/ 18-55 mm lens (24.2 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d3200,digital slr camera,24.2,
buy.net//5871,"panasonic lumix dmc-gh4 black digital camera (16.05 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",panasonic,dmc-gh4,mirrorless interchangeable lens camera,16.1,
buy.net//5878,"nikon coolpix l830 red digital camera (16 mp, 34x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,l830,point & shoot digital camera,16.0,
buy.net//5881,"sony a7r black interchangeable lens digital slr camera body only (36.4 mp, memory stick/sd card slot) price comparison at buy.net",sony,a7r,mirrorless camera,36.4,
buy.net//5892,"fujifilm x-m1 silver digital camera (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x-m1,mirrorless interchangeable lens camera,16.3,
buy.net//5895,"nikon d7100 dslr camera - body only (24.1 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d7100,digital slr camera,24.1,
buy.net//5901,"canon powershot sx510 hs black digital camera (12.1 megapixel - 3"" lcd - 30x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - pictbridge - hd movie mode) price comparison at buy.net",canon,sx510,compact camera,12.1,
buy.net//5904,"nikon coolpix p530 black digital camera (16.1 mp, 42x opt, sd/sdhc/sdxc card slot, 56 mb) price comparison at buy.net",nikon,p530,point & shoot digital camera,16.1,
buy.net//5909,"sony cyber-shot dsc-rx100 black digital camera (20.2 mp, 3.6x opt, sd/sdhc/sdxc/ms duo/ms pro duo/ms pro-hg duo card slot) price comparison at buy.net",sony,dsc-rx100,point & shoot digital camera,20.2,
buy.net//5935,"canon powershot sx500 is black digital camera (16 mp, 30x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,sx500,compact camera,16.0,
buy.net//5937,"panasonic lumix dmc-g5 black digital camera body only (16.05 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",panasonic,dmc-g5,mirrorless interchangeable lens camera,16.1,
buy.net//5943,"nikon dx-format d7100 black slr digital camera kit w/ 18-140 mm & 55-300 mm lens (24.1 mp, 5.5x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d7100,digital slr camera,24.1,
buy.net//5946,"nikon coolpix s01 red digital camera (10.1 mp, 3x opt) price comparison at buy.net",nikon,s01,compact camera,10.1,
buy.net//5951,"nikon coolpix aw120 black digital camera (16 mp, 5x opt, sd/sdhc/sdxc card slot, 329 mb) price comparison at buy.net",nikon,aw120,point & shoot digital camera,16.0,
buy.net//5955,"ricoh mx-1 12 megapixel compact camera - silver (3"" lcd - 4x optical zoom - optical, electronic is - 4000 x 3000 image - 1920 x 1080 video - hdmi - hd movie mode) price comparison at buy.net",ricoh,mx-1,compact camera,12.0,
buy.net//5966,"nikon coolpix p600 red digital camera (16.1 mp, 60x opt, sd/sdhc/sdxc card slot, 56 mb) price comparison at buy.net",nikon,p600,point & shoot digital camera,16.1,
buy.net//5975,"pentax k-3 silver slr digital camera (23.35 mp, sd/sdhc/sdxc card slot, 4 gb) price comparison at buy.net",pentax,k-3,digital slr camera,23.4,
buy.net//5986,"canon eos 60d 18 megapixel digital slr camera body with lens kit - 18 mm - 55 mm - black (3"" lcd - 3.1x optical zoom - 4272 x 2848 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",canon,60d,digital slr camera,18.0,
buy.net//5994,"canon eos 60d black digital slr digital camera body only (18 mp, sd card slot) price comparison at buy.net",canon,60d,digital slr camera,18.0,
buy.net//6006,"nikon coolpix aw120 orange digital camera (16 mp, 5x opt, sd/sdhc/sdxc card slot, 329 mb) price comparison at buy.net",nikon,aw120,point & shoot digital camera,16.0,
buy.net//6015,"canon powershot sx200 is 12.1 megapixel compact camera - black (3"" lcd - 12x optical zoom - 4000 x 3000 image - 1280 x 720 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",canon,sx200,compact camera,12.1,
buy.net//6025,nikon d7100 24 megapixel digital slr camera with 18-140mm vr lens kit - black price comparison at buy.net,nikon,d7100,,24.0,
buy.net//6028,"nikon d90 12.3 megapixel digital slr camera body only (3"" lcd - 4288 x 2848 image - 1280 x 720 video - hdmi - hd movie mode) price comparison at buy.net",nikon,d90,digital slr camera,12.3,
buy.net//6032,"samsung wb2200f black digital camera (16.4 mp, 60x opt, sdhc/sdxc card slot) price comparison at buy.net",samsung,wb2200f,point & shoot digital camera,16.4,
buy.net//6036,"canon powershot sx170 is red digital camera (16 megapixel - 3"" lcd - 16x optical zoom - optical is - 4608 x 3456 image - 1280 x 720 video - pictbridge - hd movie mode) price comparison at buy.net",canon,sx170,compact camera,16.0,
buy.net//6038,"olympus stylus tough tg-850 black digital camera (16 mp, 5x opt, sd/sdhc/sdxc card slot, 37 mb) price comparison at buy.net",olympus,tg-850,point & shoot digital camera,16.0,
buy.net//6049,"nikon coolpix l830 black digital camera (16 mp, 34x opt, sd/sdhc/sdxc card slot, 59 mb) price comparison at buy.net",nikon,l830,point & shoot digital camera,16.0,
buy.net//6051,"sony a5000 silver digital camera kit w/ 16-50 mm lens (20.1 mp, 3x opt, sd/sdhc/sdxc/ms pro duo/ms pro-hg duo card slot) price comparison at buy.net",sony,a5000,mirrorless interchangeable lens camera,20.1,
buy.net//6054,"pentax mx-1 black digital camera (12 mp, 4x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",pentax,mx-1,compact camera,12.0,
buy.net//6063,"panasonic lumix dmc-fz50 10.1 megapixel bridge camera - black (2"" lcd - 12x optical zoom - secure digital sd card included - 3648 x 2736 image - 848 x 480 video - pictbridge) price comparison at buy.net",panasonic,dmc-fz50,bridge camera,10.1,
buy.net//6077,"fujifilm x series x-e2 silver digital camera (16.3 mp, sd/sdxc/sdhc card slot) price comparison at buy.net",fujifilm,x-e2,mirrorless interchangeable lens camera,16.3,
buy.net//6088,"canon powershot s120 black digital camera (12.1 mp, 5x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,s120,point & shoot digital camera,12.1,
buy.net//6091,"fujifilm x-t1 black mirrorless digital camera (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x-t1,mirrorless interchangeable lens camera,16.3,
buy.net//6093,"panasonic lumix dmc-fz30 8 megapixel bridge camera - black (2"" lcd - 12x optical zoom - secure digital sd card included - 3264 x 2448 image - 640 x 480 video - pictbridge) price comparison at buy.net",panasonic,dmc-fz30,bridge camera,8.0,
buy.net//6110,"fujifilm finepix s1 black digital camera (16.4 mp, 50x opt, sd/sdhc/sdxc card slot, 37 mb) price comparison at buy.net",fujifilm,s1,point & shoot digital camera,16.4,
buy.net//6117,"sony alpha a6000 black mirrorless digital camera (24.3 mp, sd/sdhc/sdxc/ms pro duo/ms pro-hg duo slot) price comparison at buy.net",sony,a6000,mirrorless interchangeable lens camera,24.3,
buy.net//6120,"nikon d5300 grey slr digital camera (24.2 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d5300,digital slr camera,24.2,
buy.net//6138,"olympus tg-850 silver digital camera (16 mp, 5x opt, sd/sdhc/sdxc card slot, 37 mb) price comparison at buy.net",olympus,tg-850,point & shoot digital camera,16.0,
buy.net//6142,"nikon coolpix p520 black digital camera (18.1 mp, 42x opt, sd card slot) price comparison at buy.net",nikon,p520,bridge camera,18.1,
buy.net//6153,"samsung nx300 white digital camera kit w/ 20-50 mm lens (20.3 mp, 2.5x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",samsung,nx300,mirrorless camera,20.3,
buy.net//6156,"fujifilm x-m1 black slr digital camera kit w/ 16-50 mm ois lens (16.3 mp, sd/sdxc/sdhc card slot) price comparison at buy.net",fujifilm,x-m1,point & shoot digital camera,16.3,
buy.net//6171,"panasonic lumix dmc-lx7 black digital camera (10.1 mp, 3.8x opt, sd card slot) price comparison at buy.net",panasonic,dmc-lx7,compact camera,10.1,
buy.net//6179,"fujifilm x-m1 silver slr digital camera kit w/ 16-50 mm lens (16.3 mp, sd/sdxc/sdhc card slot) price comparison at buy.net",fujifilm,x-m1,digital slr camera,16.3,
buy.net//6183,"sony alpha ilce-5000l 20.1 megapixel mirrorless camera body with lens kit - 16 mm - 50 mm - silver (3"" lcd - 3.1x optical zoom - 5456 x 3632 image - 1920 x 1080 video - hdmi - hd movie mode) price comparison at buy.net",sony,ilce-5000l,mirrorless camera,20.1,
buy.net//6201,"nikon d90 black slr digital camera kit w/ 18-105 mm lens (12.3 mp, 5.8x opt, sd/sdhc card slot) price comparison at buy.net",nikon,d90,digital slr camera,12.3,
buy.net//6207,"nikon d610 fx black slr digital camera kit w/ 24-85 mm lens (24.3 mp, 3.5x opt, sd/sdhc/sdxc) price comparison at buy.net",nikon,d610,digital slr camera,24.3,
buy.net//6228,"nikon coolplix p600 black digital camera (16.1 mp, 60x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,p600,point & shoot digital camera,16.1,
buy.net//6229,"nikon d4s black slr digital camera (16.2 mp, cf/xqd card slot) price comparison at buy.net",nikon,d4s,digital slr camera,16.2,
buy.net//6239,"canon eos rebel t2i black slr digital camera kit w/ 18-55mm lens (18mp, 3.1x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,t2i,digital slr camera,18.0,
buy.net//6259,"fujifilm x-e2 black digital camera kit w/ 18-55 mm lens (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x-e2,,16.3,
buy.net//6272,"olympus stylus tough tg-3 red digital camera (16 mp, 4x opt, sd/sdhc/sdxc card slot, 36 mb) price comparison at buy.net",olympus,tg-3,point & shoot digital camera,16.0,
buy.net//6287,"canon powershot sx160 is black digital camera (16 mp, 16x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,sx160,compact camera,16.0,
buy.net//6293,"canon powershot g1 x black digital camera (14.1 mp, 4x opt, sd card slot) price comparison at buy.net",canon,g1 x,compact camera,14.1,
buy.net//6296,"nikon d5300 24.2 megapixel digital slr camera body only - black (3.2"" lcd - 6000 x 4000 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",nikon,d5300,digital slr camera,24.2,
buy.net//6305,"nikon d5300 black slr digital camera kit w/ 18-55 mm lens (24.2 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d5300,digital slr camera,24.2,
buy.net//6308,"nikon v1 black digital camera w/ 10-30mm lens (10.1 mp, 3x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,v1,mirrorless camera,10.1,
buy.net//6310,"pentax k-3 black slr digital camera kit w/ 18-135 mm lens (23.35 mp, 7.5x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",pentax,k-3,digital slr camera,23.4,
buy.net//6324,"nikon d5300 red slr digital camera kit w/ 18-55 mm lens (24.2 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d5300,digital slr camera,24.2,
buy.net//6335,"pentax k-50 black slr digital camera (16.3 mp, sd/sdxc/sdhc card slot) price comparison at buy.net",pentax,k-50,digital slr camera,16.3,
buy.net//6338,"canon eos 70d black slr digital camera kit w/ 18-135 mm lens (20.2 mp, sd/sdxc/sdhc card slot) price comparison at buy.net",canon,70d,digital slr camera,20.2,
buy.net//6363,"nikon d3300 red slr digital camera kit w/ 18-55 mm lens (24.2 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d3300,digital slr camera,24.2,
buy.net//6378,"fujifilm x100s silver digital camera (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x100s,point & shoot digital camera,16.3,
buy.net//6383,"sony dsc-rx100/b black digital camera (20.2 mp, 3.6x opt, sd/sdxc/sdhc/ms duo card slot) price comparison at buy.net",sony,dsc-rx100,point & shoot digital camera,20.2,
buy.net//6384,"nikon coolpix aw120 blue digital camera (16 mp, 5x opt, sd/sdhc/sdxc card slot, 329 mb) price comparison at buy.net",nikon,aw120,point & shoot digital camera,16.0,
buy.net//6387,"panasonic lumix dmc-zs25 16.1 megapixel compact camera - silver (3"" lcd - 20x optical zoom - optical is - 4896 x 3672 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",panasonic,dmc-zs25,compact camera,16.1,
buy.net//6400,"sony dsc-rx100m ii cyber-shot black digital camera (20.2 mp, 3.6x opt, sd card slot) price comparison at buy.net",sony,dsc-rx100m,compact camera,20.2,
buy.net//6408,"sony alpha a5000 white digital camera kit w/ 16-50 mm lens (20.1 mp, sd/sdhc/sdxc/ms pro duo/ms pro-hg duo card slot) price comparison at buy.net",sony,a5000,mirrorless interchangeable lens camera,20.1,
buy.net//6417,"sony alpha a6000 silver digital camera kit w/ 16-50 mm lens (24.3 mp, 3x opt, ms pro duo/ms pro-hg duo/sd/sdhc/sdxc card slot) price comparison at buy.net",sony,a6000,mirrorless interchangeable lens camera,24.3,
buy.net//6420,"canon powershot sx260 hs black digital camera (12.1 mp, 20x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,sx260,compact camera,12.1,
buy.net//6423,"canon powershot g16 black digital camera (12.1 mp, 5x opt, sd card slot) price comparison at buy.net",canon,g16,point & shoot digital camera,12.1,
buy.net//6425,"nikon d610 black slr digital camera kit w/ 24-85 mm & 70-300 mm lens (24.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d610,digital slr camera,24.3,
buy.net//6429,"kodak easyshare v803 8 megapixel compact camera - white glaze (2.5"" lcd - 3x optical zoom - 3264 x 2448 image - 640 x 480 video - pictbridge) price comparison at buy.net",kodak,v803,compact camera,8.0,
buy.net//6433,nikon d610 fx-format 24.3 mp 1080p video digital slr camera with 28-300mm lens price comparison at buy.net,nikon,d610,digital slr camera,24.3,
buy.net//6447,"sony alpha a6000 black digital camera kit w/ 16-50 mm lens (24.3 mp, 3x opt, sd/sdhc/sdxc/ms pro duo/ms pro-hg duo card slot) price comparison at buy.net",sony,a6000,mirrorless interchangeable lens camera,24.3,
buy.net//6448,"canon eos rebel t3i black slr digital camera kit w/ 18-135 mm & 70-300mm lens (18 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,t3i,digital slr camera,18.0,
buy.net//6455,"samsung smart nx30 20.3 megapixel mirrorless camera body with lens kit - 18 mm - 55 mm - black (3"" touchscreen amoled - 3.1x optical zoom - optical is - 5472 x 3648 image - 1920 x 1080 video - hdmi - hd movie mode) price comparison at buy.net",samsung,nx30,mirrorless camera,20.3,
buy.net//6473,"canon powershot sx200 is 12.1 megapixel compact camera - red (3"" lcd - 12x optical zoom - 4000 x 3000 image - 1280 x 720 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",canon,sx200,compact camera,12.1,
buy.net//6478,"nikon coolplix s9700 black digital camera (16 mp, 30x opt, sd/sdhc/sdxc card slot, 329 mb) price comparison at buy.net",nikon,s9700,point & shoot digital camera,16.0,
buy.net//6500,"panasonic lumix dmc-g5kk black digital camera kit w/ 14-42mm lens (3x opt, 16.05 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",panasonic,dmc-g5kk,mirrorless camera,16.1,
buy.net//6502,"canon eos 5d mark iii black slr digital camera kit w/ 24-105 mm lens (22.3 mp, 4.37x opt, compactflash/sd/sdhc/sdxc card slot) price comparison at buy.net",canon,5d mark iii,digital slr camera,22.3,
buy.net//6507,"nikon d3300 gray slr digital camera kit w/ 18-55 mm lens (24.2 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d3300,digital slr camera,24.2,
buy.net//6510,"sony cyber-shot dsc-w830 20.1 megapixel compact camera - black (2.7"" lcd - 8x optical zoom - optical is - 11520 x 1080 image - 1280 x 720 video - hd movie mode) price comparison at buy.net",sony,dsc-w830,compact camera,20.1,
buy.net//6511,"fujifilm x-e1 black digital camera kit w/ 18-55 mm lens (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x-e1,mirrorless camera,16.3,
buy.net//6528,"canon powershot s110 black digital camera (12.1 megapixel - 3"" touchscreen lcd - 5x optical zoom - optical is - 4000 x 3000 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",canon,s110,compact camera,12.1,
buy.net//6531,"sony alpha a7 black digital camera kit w/ 28-70mm lens (24.3 mp, sd card/memory stick) price comparison at buy.net",sony,a7,digital slr camera,24.3,
buy.net//6536,"nikon d610 black slr digital camera body only (24.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",nikon,d610,digital slr camera,24.3,
buy.net//6545,"canon powershot s120 black digital camera (12.1 mp, 5x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",canon,s120,point & shoot digital camera,12.1,
buy.net//6555,"fujifilm x-e1 black digital camera kit w/ 18-55 mm lens (16.3 mp, sd/sdhc/sdxc card slot) price comparison at buy.net",fujifilm,x-e1,mirrorless interchangeable lens camera,16.3,
buy.net//6578,"canon eos 7d black slr digital camera kit w/ 28-135mm lens (18 mp, 4.8x opt, compactflash slot) price comparison at buy.net",canon,7d,digital slr camera,18.0,
buy.net//6588,"canon eos rebel xs 10.1 megapixel digital slr camera body only - black (2.5"" lcd - 3888 x 2592 image - pictbridge) price comparison at buy.net",canon,xs,digital slr camera,10.1,
buy.net//6594,"nikon j1 silver digital camera kit w/ 10-30mm lens (10.1 megapixel - 3"" lcd - 3x optical zoom - optical is - 3872 x 2592 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",nikon,j1,mirrorless camera,10.1,
buy.net//6598,"panasonic lumix dmc-ts5 orange digital camera (16.1 mp, 4.6x opt, sd/sdhc/sdxc card slot) price comparison at buy.net",panasonic,dmc-ts5,point & shoot digital camera,16.1,
